[2020-10-19 22:10:57,319] {taskinstance.py:670} INFO - Dependencies all met for <TaskInstance: tutorial.generate_log 2020-10-19T16:30:15.912664+00:00 [queued]>
[2020-10-19 22:10:57,325] {taskinstance.py:670} INFO - Dependencies all met for <TaskInstance: tutorial.generate_log 2020-10-19T16:30:15.912664+00:00 [queued]>
[2020-10-19 22:10:57,325] {taskinstance.py:880} INFO - 
--------------------------------------------------------------------------------
[2020-10-19 22:10:57,325] {taskinstance.py:881} INFO - Starting attempt 1 of 2
[2020-10-19 22:10:57,325] {taskinstance.py:882} INFO - 
--------------------------------------------------------------------------------
[2020-10-19 22:10:57,331] {taskinstance.py:901} INFO - Executing <Task(PythonOperator): generate_log> on 2020-10-19T16:30:15.912664+00:00
[2020-10-19 22:10:57,332] {standard_task_runner.py:54} INFO - Started process 16369 to run task
[2020-10-19 22:10:57,354] {standard_task_runner.py:77} INFO - Running: ['airflow', 'run', 'tutorial', 'generate_log', '2020-10-19T16:30:15.912664+00:00', '--job_id', '276', '--pool', 'default_pool', '--raw', '-sd', 'DAGS_FOLDER/tutorial.py', '--cfg_path', '/var/folders/4j/yctg8njd19g2873bfk914jqw0000gn/T/tmp06x9ao72']
[2020-10-19 22:10:57,355] {standard_task_runner.py:78} INFO - Job 276: Subtask generate_log
[2020-10-19 22:10:57,384] {logging_mixin.py:112} INFO - Running %s on host %s <TaskInstance: tutorial.generate_log 2020-10-19T16:30:15.912664+00:00 [running]> Arpitas-MacBook-Pro.local
[2020-10-19 22:10:57,659] {logging_mixin.py:112} INFO - 63.87.52.199 - "Douglas Becker" [19/Oct/2020:22:10:57 +0530] "PUT /wp-content HTTP/1.0" 200 -6274 "https://www.manning-mason.com/terms/" "Mozilla/5.0 (Windows NT 5.2; kw-GB; rv:1.9.0.20) Gecko/2014-06-23 14:00:14 Firefox/14.0"
[2020-10-19 22:10:57,661] {logging_mixin.py:112} INFO - 11.34.16.193 - "Christopher Bartlett Jr." [19/Oct/2020:22:10:57 +0530] "PUT /app/main/posts HTTP/1.0" 200 5888 "https://www.brooks.com/privacy.htm" "Mozilla/5.0 (iPod; U; CPU iPhone OS 3_1 like Mac OS X; ia-FR) AppleWebKit/532.41.3 (KHTML, like Gecko) Version/4.0.5 Mobile/8B112 Safari/6532.41.3"
[2020-10-19 22:10:57,662] {logging_mixin.py:112} INFO - 152.8.47.152 - "Mark Mitchell" [19/Oct/2020:22:10:57 +0530] "GET /posts/posts/explore HTTP/1.0" 200 3381 "http://www.atkins.com/about/" "Mozilla/5.0 (X11; Linux i686; rv:1.9.6.20) Gecko/2013-02-05 12:07:23 Firefox/3.8"
[2020-10-19 22:10:57,664] {logging_mixin.py:112} INFO - 211.117.98.233 - "Janet Taylor" [19/Oct/2020:22:10:57 +0530] "GET /app/main/posts HTTP/1.0" 200 -2659 "http://king.info/search/faq.html" "Opera/9.52.(X11; Linux i686; yo-NG) Presto/2.9.162 Version/10.00"
[2020-10-19 22:10:57,666] {logging_mixin.py:112} INFO - 100.11.114.33 - "Barry Ellis" [19/Oct/2020:22:10:57 +0530] "GET /wp-admin HTTP/1.0" 200 726 "https://www.orozco.com/search.html" "Mozilla/5.0 (Android 4.0.3; Mobile; rv:59.0) Gecko/59.0 Firefox/59.0"
[2020-10-19 22:10:57,667] {logging_mixin.py:112} INFO - 118.58.208.49 - "Teresa Jones" [19/Oct/2020:22:10:57 +0530] "GET /posts/posts/explore HTTP/1.0" 200 4866 "http://www.smith-williams.com/author.php" "Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_12_5; rv:1.9.4.20) Gecko/2014-08-09 09:11:25 Firefox/3.6.14"
[2020-10-19 22:10:57,670] {logging_mixin.py:112} INFO - 50.249.117.102 - "Gary Hester" [19/Oct/2020:22:10:57 +0530] "PUT /list HTTP/1.0" 200 2391 "https://ramirez.biz/categories/list/category.htm" "Mozilla/5.0 (iPhone; CPU iPhone OS 4_2_1 like Mac OS X) AppleWebKit/531.1 (KHTML, like Gecko) FxiOS/14.4o9990.0 Mobile/51W580 Safari/531.1"
[2020-10-19 22:10:57,671] {logging_mixin.py:112} INFO - 181.72.64.234 - "Bryan Hatfield" [19/Oct/2020:22:10:57 +0530] "GET /wp-admin HTTP/1.0" 200 -1437 "http://kent-martinez.biz/about.html" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6 rv:2.0; th-TH) AppleWebKit/533.17.7 (KHTML, like Gecko) Version/4.0.2 Safari/533.17.7"
[2020-10-19 22:10:57,673] {logging_mixin.py:112} INFO - 167.155.219.35 - "Tiffany Adams" [19/Oct/2020:22:10:57 +0530] "GET /explore HTTP/1.0" 200 -4588 "https://www.ryan.com/" "Mozilla/5.0 (Windows NT 6.1; gl-ES; rv:1.9.2.20) Gecko/2013-02-28 10:23:43 Firefox/15.0"
[2020-10-19 22:10:57,674] {logging_mixin.py:112} INFO - 149.234.74.241 - "Angel Nichols" [19/Oct/2020:22:10:57 +0530] "POST /explore HTTP/1.0" 200 655 "http://www.brewer.biz/faq/" "Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_12_0; rv:1.9.2.20) Gecko/2011-06-03 03:04:13 Firefox/8.0"
[2020-10-19 22:10:57,676] {logging_mixin.py:112} INFO - 205.25.158.203 - "Felicia Gomez" [19/Oct/2020:22:10:57 +0530] "DELETE /explore HTTP/1.0" 200 5073 "https://www.johnson.com/" "Mozilla/5.0 (Macintosh; PPC Mac OS X 10_9_9; rv:1.9.5.20) Gecko/2014-08-08 12:00:36 Firefox/8.0"
[2020-10-19 22:10:57,677] {logging_mixin.py:112} INFO - 137.35.22.116 - "Robert Montes" [19/Oct/2020:22:10:57 +0530] "DELETE /app/main/posts HTTP/1.0" 200 2243 "https://horne.com/tags/blog/post/" "Mozilla/5.0 (Linux; Android 2.2.3) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/45.0.867.0 Safari/535.1"
[2020-10-19 22:10:57,679] {logging_mixin.py:112} INFO - 74.144.176.15 - "James George" [19/Oct/2020:22:10:57 +0530] "GET /search/tag/list HTTP/1.0" 200 -2524 "https://smith.com/search/wp-content/privacy.htm" "Opera/9.80.(X11; Linux i686; ss-ZA) Presto/2.9.162 Version/12.00"
[2020-10-19 22:10:57,680] {logging_mixin.py:112} INFO - 64.116.20.158 - "Jasmine Williams" [19/Oct/2020:22:10:57 +0530] "DELETE /app/main/posts HTTP/1.0" 200 -4235 "http://www.joseph.com/search/" "Mozilla/5.0 (iPad; CPU iPad OS 12_4 like Mac OS X) AppleWebKit/535.0 (KHTML, like Gecko) CriOS/21.0.896.0 Mobile/39G831 Safari/535.0"
[2020-10-19 22:10:57,681] {logging_mixin.py:112} INFO - 81.103.88.228 - "Cheryl Gardner" [19/Oct/2020:22:10:57 +0530] "POST /app/main/posts HTTP/1.0" 200 -3819 "https://www.delgado-lewis.com/explore/post/" "Mozilla/5.0 (Windows NT 5.0) AppleWebKit/536.0 (KHTML, like Gecko) Chrome/14.0.823.0 Safari/536.0"
[2020-10-19 22:10:57,684] {logging_mixin.py:112} INFO - 59.245.71.102 - "Ashley White" [19/Oct/2020:22:10:57 +0530] "GET /posts/posts/explore HTTP/1.0" 200 3145 "https://www.baker.com/wp-content/login.html" "Mozilla/5.0 (Android 4.4; Mobile; rv:68.0) Gecko/68.0 Firefox/68.0"
[2020-10-19 22:10:57,686] {logging_mixin.py:112} INFO - 100.131.64.59 - "Brittany Edwards" [19/Oct/2020:22:10:57 +0530] "PUT /wp-content HTTP/1.0" 200 -2171 "https://olson.com/post.asp" "Mozilla/5.0 (Windows NT 6.1; sk-SK; rv:1.9.1.20) Gecko/2016-05-18 03:54:47 Firefox/3.8"
[2020-10-19 22:10:57,687] {logging_mixin.py:112} INFO - 151.93.53.208 - "Emily Hernandez" [19/Oct/2020:22:10:57 +0530] "PUT /explore HTTP/1.0" 200 -1123 "http://www.lee-lucas.com/login/" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/535.2 (KHTML, like Gecko) Chrome/53.0.842.0 Safari/535.2"
[2020-10-19 22:10:57,689] {logging_mixin.py:112} INFO - 187.115.15.7 - "Samantha Matthews" [19/Oct/2020:22:10:57 +0530] "DELETE /posts/posts/explore HTTP/1.0" 200 -9917 "http://www.johnson.com/" "Mozilla/5.0 (Macintosh; PPC Mac OS X 10_12_1; rv:1.9.4.20) Gecko/2019-02-05 09:54:27 Firefox/11.0"
[2020-10-19 22:10:57,691] {logging_mixin.py:112} INFO - 220.71.62.213 - "Alex West" [19/Oct/2020:22:10:57 +0530] "GET /wp-content HTTP/1.0" 200 2989 "http://espinoza.com/main.html" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_5_5 rv:6.0; bhb-IN) AppleWebKit/534.21.6 (KHTML, like Gecko) Version/5.0.5 Safari/534.21.6"
[2020-10-19 22:10:57,692] {logging_mixin.py:112} INFO - 188.254.147.217 - "John Copeland" [19/Oct/2020:22:10:57 +0530] "DELETE /posts/posts/explore HTTP/1.0" 200 -5972 "https://martinez.com/" "Mozilla/5.0 (Linux; Android 4.0.4) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/49.0.823.0 Safari/535.1"
[2020-10-19 22:10:57,694] {logging_mixin.py:112} INFO - 19.203.14.120 - "Anna Mathis" [19/Oct/2020:22:10:57 +0530] "DELETE /wp-admin HTTP/1.0" 301 3807 "http://holt.com/privacy.html" "Mozilla/5.0 (iPod; U; CPU iPhone OS 4_0 like Mac OS X; lg-UG) AppleWebKit/534.1.5 (KHTML, like Gecko) Version/4.0.5 Mobile/8B117 Safari/6534.1.5"
[2020-10-19 22:10:57,696] {logging_mixin.py:112} INFO - 35.96.166.107 - "Eric Blair" [19/Oct/2020:22:10:57 +0530] "GET /wp-content HTTP/1.0" 200 981 "http://schmitt.org/explore/app/about.html" "Mozilla/5.0 (X11; Linux i686; rv:1.9.5.20) Gecko/2017-02-21 06:42:21 Firefox/3.6.1"
[2020-10-19 22:10:57,697] {logging_mixin.py:112} INFO - 30.160.138.125 - "Susan Welch" [19/Oct/2020:22:10:57 +0530] "GET /posts/posts/explore HTTP/1.0" 200 5554 "https://allen.com/posts/register/" "Opera/9.45.(X11; Linux i686; nhn-MX) Presto/2.9.180 Version/10.00"
[2020-10-19 22:10:57,698] {logging_mixin.py:112} INFO - 154.90.207.97 - "Kevin Hill" [19/Oct/2020:22:10:57 +0530] "DELETE /explore HTTP/1.0" 200 -6473 "http://www.macdonald-rodriguez.com/" "Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_9_5 rv:4.0; nso-ZA) AppleWebKit/532.49.2 (KHTML, like Gecko) Version/4.0.3 Safari/532.49.2"
[2020-10-19 22:10:57,699] {logging_mixin.py:112} INFO - 183.22.42.33 - "Emily Wallace" [19/Oct/2020:22:10:57 +0530] "GET /explore HTTP/1.0" 200 1462 "https://www.moore.info/" "Mozilla/5.0 (Linux; Android 7.1.2) AppleWebKit/535.2 (KHTML, like Gecko) Chrome/57.0.897.0 Safari/535.2"
[2020-10-19 22:10:57,701] {logging_mixin.py:112} INFO - 15.29.159.27 - "Thomas Gonzalez" [19/Oct/2020:22:10:57 +0530] "DELETE /wp-admin HTTP/1.0" 200 2457 "http://rojas.com/register/" "Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_7_6) AppleWebKit/534.1 (KHTML, like Gecko) Chrome/53.0.813.0 Safari/534.1"
[2020-10-19 22:10:57,703] {logging_mixin.py:112} INFO - 30.26.118.244 - "Melanie Carney" [19/Oct/2020:22:10:57 +0530] "GET /wp-admin HTTP/1.0" 200 1846 "https://www.chavez.info/login.htm" "Mozilla/5.0 (Windows 95; th-TH; rv:1.9.1.20) Gecko/2018-12-13 03:22:46 Firefox/3.6.20"
[2020-10-19 22:10:57,704] {logging_mixin.py:112} INFO - 202.164.146.214 - "Barbara Brock" [19/Oct/2020:22:10:57 +0530] "GET /posts/posts/explore HTTP/1.0" 200 7308 "https://parks.net/index.jsp" "Mozilla/5.0 (iPod; U; CPU iPhone OS 4_0 like Mac OS X; dv-MV) AppleWebKit/535.29.2 (KHTML, like Gecko) Version/4.0.5 Mobile/8B115 Safari/6535.29.2"
[2020-10-19 22:10:57,706] {logging_mixin.py:112} INFO - 215.145.46.73 - "Frank Williams" [19/Oct/2020:22:10:57 +0530] "GET /wp-admin HTTP/1.0" 200 1142 "http://www.miller.com/main/" "Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 5.0; Trident/4.0)"
[2020-10-19 22:10:57,708] {logging_mixin.py:112} INFO - 20.70.144.118 - "Heidi Davis" [19/Oct/2020:22:10:57 +0530] "GET /list HTTP/1.0" 301 5723 "http://www.stokes.net/privacy/" "Mozilla/5.0 (X11; Linux x86_64; rv:1.9.6.20) Gecko/2017-12-30 08:10:25 Firefox/12.0"
[2020-10-19 22:10:57,710] {logging_mixin.py:112} INFO - 124.56.185.243 - "Christina Mitchell" [19/Oct/2020:22:10:57 +0530] "GET /app/main/posts HTTP/1.0" 500 5333 "http://allen.com/blog/explore/index/" "Mozilla/5.0 (Macintosh; PPC Mac OS X 10_9_3 rv:4.0; fy-NL) AppleWebKit/532.13.1 (KHTML, like Gecko) Version/5.0.5 Safari/532.13.1"
[2020-10-19 22:10:57,712] {logging_mixin.py:112} INFO - 111.49.120.130 - "Angel Gibson" [19/Oct/2020:22:10:57 +0530] "GET /wp-admin HTTP/1.0" 200 -5819 "http://craig-moore.com/main/categories/posts/faq.html" "Opera/8.18.(Windows NT 6.1; fil-PH) Presto/2.9.174 Version/12.00"
[2020-10-19 22:10:57,714] {logging_mixin.py:112} INFO - 210.44.72.241 - "Samantha Gordon" [19/Oct/2020:22:10:57 +0530] "POST /wp-admin HTTP/1.0" 200 -6748 "http://www.lewis-burns.biz/register/" "Mozilla/5.0 (X11; Linux x86_64; rv:1.9.7.20) Gecko/2013-01-15 04:20:47 Firefox/3.6.12"
[2020-10-19 22:10:57,716] {logging_mixin.py:112} INFO - 145.208.28.239 - "Jeremy Ochoa" [19/Oct/2020:22:10:57 +0530] "POST /search/tag/list HTTP/1.0" 200 3833 "https://holden.com/main.asp" "Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_8_5; rv:1.9.4.20) Gecko/2016-09-24 22:24:27 Firefox/3.6.18"
[2020-10-19 22:10:57,717] {logging_mixin.py:112} INFO - 45.187.48.14 - "Amanda Jenkins" [19/Oct/2020:22:10:57 +0530] "GET /list HTTP/1.0" 200 3813 "https://wells-sullivan.com/explore/categories/search/" "Mozilla/5.0 (Windows NT 5.2) AppleWebKit/531.2 (KHTML, like Gecko) Chrome/16.0.805.0 Safari/531.2"
[2020-10-19 22:10:57,719] {logging_mixin.py:112} INFO - 128.241.253.11 - "William Mcknight" [19/Oct/2020:22:10:57 +0530] "POST /app/main/posts HTTP/1.0" 200 -1425 "https://www.lynn-martinez.com/about.php" "Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_9_2) AppleWebKit/533.1 (KHTML, like Gecko) Chrome/60.0.830.0 Safari/533.1"
[2020-10-19 22:10:57,720] {logging_mixin.py:112} INFO - 99.168.43.154 - "Lori Gonzalez" [19/Oct/2020:22:10:57 +0530] "PUT /app/main/posts HTTP/1.0" 200 3536 "https://www.rogers.biz/" "Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_8_9 rv:6.0; ko-KR) AppleWebKit/535.3.7 (KHTML, like Gecko) Version/4.0 Safari/535.3.7"
[2020-10-19 22:10:57,722] {logging_mixin.py:112} INFO - 196.120.151.94 - "Ernest Cox" [19/Oct/2020:22:10:57 +0530] "GET /posts/posts/explore HTTP/1.0" 200 -1612 "https://www.martinez.com/about/" "Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_11_6; rv:1.9.5.20) Gecko/2017-05-09 15:37:17 Firefox/15.0"
[2020-10-19 22:10:57,723] {logging_mixin.py:112} INFO - 192.7.205.48 - "Nicole Harris" [19/Oct/2020:22:10:57 +0530] "GET /app/main/posts HTTP/1.0" 200 3150 "https://jordan.org/wp-content/search/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_7) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/59.0.860.0 Safari/535.1"
[2020-10-19 22:10:57,725] {logging_mixin.py:112} INFO - 138.223.35.213 - "Kimberly Miller" [19/Oct/2020:22:10:57 +0530] "GET /search/tag/list HTTP/1.0" 500 -2858 "http://garcia-harris.com/category.jsp" "Mozilla/5.0 (X11; Linux i686; rv:1.9.5.20) Gecko/2013-02-20 22:56:27 Firefox/3.8"
[2020-10-19 22:10:57,726] {logging_mixin.py:112} INFO - 1.108.131.153 - "Andre Carpenter" [19/Oct/2020:22:10:57 +0530] "PUT /posts/posts/explore HTTP/1.0" 200 7043 "https://www.jefferson.com/search.asp" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_3) AppleWebKit/536.0 (KHTML, like Gecko) Chrome/46.0.889.0 Safari/536.0"
[2020-10-19 22:10:57,727] {logging_mixin.py:112} INFO - 63.64.244.151 - "Joseph Patrick" [19/Oct/2020:22:10:57 +0530] "GET /explore HTTP/1.0" 500 6342 "http://www.hartman.com/privacy/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_1) AppleWebKit/532.2 (KHTML, like Gecko) Chrome/30.0.801.0 Safari/532.2"
[2020-10-19 22:10:57,729] {logging_mixin.py:112} INFO - 144.47.251.249 - "Erika Ramirez" [19/Oct/2020:22:10:57 +0530] "GET /wp-content HTTP/1.0" 200 -5779 "https://www.reid.com/index.html" "Opera/9.65.(Windows 98; Win 9x 4.90; tig-ER) Presto/2.9.162 Version/12.00"
[2020-10-19 22:10:57,731] {logging_mixin.py:112} INFO - 26.136.202.15 - "Robert Strong" [19/Oct/2020:22:10:57 +0530] "DELETE /list HTTP/1.0" 301 -14195 "http://lewis.com/terms/" "Mozilla/5.0 (Android 2.3.1; Mobile; rv:53.0) Gecko/53.0 Firefox/53.0"
[2020-10-19 22:10:57,732] {logging_mixin.py:112} INFO - 177.103.84.18 - "Randy Campbell" [19/Oct/2020:22:10:57 +0530] "GET /wp-admin HTTP/1.0" 500 -155 "http://lopez-potter.com/" "Mozilla/5.0 (Linux; Android 3.2.1) AppleWebKit/533.2 (KHTML, like Gecko) Chrome/61.0.816.0 Safari/533.2"
[2020-10-19 22:10:57,733] {logging_mixin.py:112} INFO - 51.21.22.69 - "Jessica Vargas" [19/Oct/2020:22:10:57 +0530] "PUT /wp-content HTTP/1.0" 200 10175 "https://www.dunn.com/explore/home/" "Mozilla/5.0 (Linux; Android 8.1.0) AppleWebKit/531.0 (KHTML, like Gecko) Chrome/35.0.872.0 Safari/531.0"
[2020-10-19 22:10:57,736] {logging_mixin.py:112} INFO - 52.14.231.227 - "Gabriel Morrison" [19/Oct/2020:22:10:57 +0530] "GET /search/tag/list HTTP/1.0" 200 8086 "http://www.acosta-terry.com/posts/tag/privacy/" "Mozilla/5.0 (Android 3.2.2; Mobile; rv:39.0) Gecko/39.0 Firefox/39.0"
[2020-10-19 22:10:57,739] {logging_mixin.py:112} INFO - 53.90.88.176 - "Valerie Cruz" [19/Oct/2020:22:10:57 +0530] "POST /posts/posts/explore HTTP/1.0" 200 10677 "https://arroyo-lewis.com/explore/category/app/register/" "Mozilla/5.0 (X11; Linux i686; rv:1.9.5.20) Gecko/2015-04-26 12:35:31 Firefox/7.0"
[2020-10-19 22:10:57,741] {logging_mixin.py:112} INFO - 73.215.40.10 - "Sandra Allen" [19/Oct/2020:22:10:57 +0530] "POST /list HTTP/1.0" 200 6480 "https://www.kane.com/category.html" "Mozilla/5.0 (X11; Linux i686; rv:1.9.6.20) Gecko/2018-12-08 10:58:49 Firefox/3.6.12"
[2020-10-19 22:10:57,744] {logging_mixin.py:112} INFO - 175.168.37.26 - "Michael Marshall" [19/Oct/2020:22:10:57 +0530] "GET /wp-admin HTTP/1.0" 200 -6540 "http://www.nelson.com/post.php" "Mozilla/5.0 (Android 4.4.2; Mobile; rv:61.0) Gecko/61.0 Firefox/61.0"
[2020-10-19 22:10:57,747] {logging_mixin.py:112} INFO - 49.183.43.164 - "Keith Campbell" [19/Oct/2020:22:10:57 +0530] "GET /wp-content HTTP/1.0" 200 7305 "http://www.wilson-burnett.net/about.php" "Mozilla/5.0 (iPhone; CPU iPhone OS 5_1_1 like Mac OS X) AppleWebKit/533.2 (KHTML, like Gecko) FxiOS/17.4t9521.0 Mobile/99T781 Safari/533.2"
[2020-10-19 22:10:57,749] {logging_mixin.py:112} INFO - 89.225.173.109 - "Lisa Rose" [19/Oct/2020:22:10:57 +0530] "GET /search/tag/list HTTP/1.0" 200 1801 "https://mcknight.info/list/blog/category/search.html" "Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_7_3; rv:1.9.6.20) Gecko/2018-02-02 23:55:00 Firefox/3.8"
[2020-10-19 22:10:57,751] {logging_mixin.py:112} INFO - 132.10.4.120 - "Deanna Gould" [19/Oct/2020:22:10:57 +0530] "PUT /search/tag/list HTTP/1.0" 301 -3516 "https://www.english-lopez.com/tag/explore/posts/search/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_1; rv:1.9.5.20) Gecko/2013-07-05 08:33:47 Firefox/3.6.15"
[2020-10-19 22:10:57,753] {logging_mixin.py:112} INFO - 35.56.188.237 - "Jeremy Russell" [19/Oct/2020:22:10:57 +0530] "GET /app/main/posts HTTP/1.0" 200 3818 "http://www.cooper.org/terms.jsp" "Mozilla/5.0 (iPad; CPU iPad OS 9_3_5 like Mac OS X) AppleWebKit/534.0 (KHTML, like Gecko) FxiOS/10.9z9942.0 Mobile/73Q565 Safari/534.0"
[2020-10-19 22:10:57,754] {logging_mixin.py:112} INFO - 53.9.28.138 - "Jason Yoder" [19/Oct/2020:22:10:57 +0530] "GET /search/tag/list HTTP/1.0" 200 -4066 "https://mack.com/tag/categories/category/faq.php" "Mozilla/5.0 (Windows 98) AppleWebKit/533.0 (KHTML, like Gecko) Chrome/59.0.884.0 Safari/533.0"
